tsec,tnsec,seqNo,id,type,side,bid0,bid1,bid2,bid3,bid4,bid_size0,bid_size1,bid_size2,bid_size3,bid_size4,ask0,ask1,ask2,ask3,ask4,ask_size0,ask_size1,ask_size2,ask_size3,ask_size4
1780861676,491371547,1,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122150000000,6122149000000,88634000,107000,17000,18000,4123000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183509000,80000,17000,27000,18000
1780861676,491439919,2,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122150000000,6122149000000,88625000,116000,17000,18000,4123000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183509000,80000,17000,27000,18000
1780861677,775736272,3,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122150000000,6122149000000,88625000,116000,17000,18000,4123000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183509000,80000,17000,27000,18000
1780861677,775761516,4,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122150000000,6122149000000,88616000,107000,17000,18000,4123000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183509000,80000,17000,27000,18000
1780861677,775768635,5,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122150000000,6122149000000,88616000,107000,17000,18000,4123000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183509000,80000,17000,27000,18000
1780861677,775780787,6,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122150000000,6122149000000,87160000,107000,17000,18000,4123000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183491000,62000,17000,27000,18000
1780861677,775786116,7,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122150000000,6122149000000,87160000,107000,17000,18000,4123000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183491000,62000,17000,27000,18000
1780861677,775799320,8,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122150000000,6122149000000,58226000,107000,17000,18000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122311000000,183473000,44000,17000,27000,7604000
1780861677,775804408,9,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122150000000,6122149000000,58226000,107000,17000,18000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122311000000,183473000,44000,17000,27000,7604000
1780861677,775817838,10,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122131000000,6122116000000,76028000,107000,17000,9000,9000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183491000,62000,17000,27000,18000
1780861677,775825647,11,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122131000000,6122116000000,76028000,107000,17000,9000,9000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183491000,62000,17000,27000,18000
1780861677,775835760,12,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122131000000,6122116000000,76028000,107000,17000,9000,9000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183491000,62000,17000,27000,18000
1780861677,867637168,13,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122131000000,6122116000000,76028000,107000,17000,9000,9000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183491000,62000,17000,27000,18000
1780861677,867674362,14,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,76028000,107000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,208237000,62000,17000,27000,18000
1780861677,867684116,15,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,76028000,107000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,208237000,62000,17000,27000,18000
1780861677,867693739,16,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,57795000,107000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122311000000,208228000,44000,17000,27000,7604000
1780861677,867699453,17,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,57795000,107000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122311000000,208228000,44000,17000,27000,7604000
1780861677,867708363,18,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,57795000,107000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122311000000,208228000,44000,17000,27000,7604000
1780861677,867712462,19,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,57795000,107000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122311000000,208228000,44000,17000,27000,7604000
1780861677,867723073,20,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,76191000,107000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,208235000,62000,17000,27000,18000
1780861677,868676432,21,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,76191000,107000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,208235000,62000,17000,27000,18000
1780861677,869053165,22,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122150000000,6122116000000,103307000,125000,17000,4105000,9000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,181253000,80000,17000,27000,18000
1780861677,869075301,23,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122150000000,6122116000000,103307000,125000,17000,4105000,9000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,181253000,80000,17000,27000,18000
1780861677,869104001,24,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122150000000,6122116000000,103422000,125000,17000,18000,9000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,156490000,71000,17000,27000,18000
1780861677,869115502,25,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122150000000,6122116000000,103422000,125000,17000,18000,9000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,156490000,71000,17000,27000,18000
1780861677,869137046,26,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,103422000,125000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,156499000,80000,17000,27000,18000
1780861677,869191903,27,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,103422000,125000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,156499000,80000,17000,27000,18000
1780861677,891465922,28,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,103413000,116000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,156499000,80000,17000,27000,18000
1780861677,891489857,29,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,103413000,116000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,156499000,80000,17000,27000,18000
1780861677,992792397,30,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,96012000,116000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,203913000,80000,17000,27000,18000
1780861677,992821206,31,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,96012000,116000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,203913000,80000,17000,27000,18000
1780861678,91774334,32,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,96012000,116000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183499000,80000,17000,27000,18000
1780861678,91810569,33,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,96012000,116000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183499000,80000,17000,27000,18000
1780861678,192490433,34,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,69012000,107000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183499000,80000,17000,27000,18000
1780861678,192637046,35,1747767916,D,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,69012000,107000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,183499000,80000,17000,27000,18000
1780861678,292699981,36,1747767916,5,N,6122200000000,6122199000000,6122198000000,6122116000000,6122103000000,96021000,116000,17000,9000,18000,6122201000000,6122202000000,6122203000000,6122254000000,6122310000000,156499000,80000,17000,27000,18000
