recv_tsec,recv_tnsec,venue,stream_kind,shard_id,conn_epoch,conn_seq,symbol,payload_json
1780861677,775804408,spot,depth_diff,0,0,11,BTCUSDT,"{""e"":""depthUpdate"",""E"":1780861677814,""s"":""BTCUSDT"",""U"":95286421483,""u"":95286421553,""b"":[[""61222.00000000"",""0.58226000""],[""61221.49000000"",""0.00018000""],[""61220.68000000"",""0.67626000""],[""61218.25000000"",""0.04687000""],[""61218.24000000"",""0.00000000""],[""61217.99000000"",""0.34442000""],[""61216.92000000"",""0.00818000""],[""61216.55000000"",""0.00000000""],[""61216.50000000"",""0.00018000""],[""61216.01000000"",""0.04123000""],[""61216.00000000"",""0.31706000""],[""61215.52000000"",""0.00000000""],[""61215.03000000"",""0.00000000""],[""61214.92000000"",""0.00000000""],[""61214.31000000"",""0.00326000""],[""61214.30000000"",""0.00009000""],[""61213.71000000"",""0.00201000""],[""61212.59000000"",""0.07054000""],[""61207.98000000"",""0.00000000""],[""61203.23000000"",""0.00400000""],[""56324.24000000"",""0.00000000""],[""55099.80000000"",""0.00510000""]],""a"":[[""61222.01000000"",""1.83473000""],[""61222.02000000"",""0.00044000""],[""61223.10000000"",""0.00000000""],[""61224.20000000"",""0.00000000""],[""61224.21000000"",""0.07604000""],[""61224.53000000"",""0.00000000""],[""61225.31000000"",""0.07497000""],[""61225.71000000"",""0.07836000""],[""61226.34000000"",""0.18215000""],[""61228.28000000"",""1.86042000""],[""61234.85000000"",""0.07578000""],[""86422.88000000"",""0.03782000""]]}"
1780861677,775814328,spot,trade,0,0,12,BTCUSDT,"{""e"":""trade"",""E"":1780861677891,""s"":""BTCUSDT"",""t"":6383873126,""p"":""61222.00000000"",""q"":""0.00440000"",""T"":1780861677890,""m"":true,""M"":true}"
1780861677,775817838,spot,depth5,0,0,13,BTCUSDT,"{""lastUpdateId"":95286421601,""bids"":[[""61222.00000000"",""0.76028000""],[""61221.99000000"",""0.00107000""],[""61221.98000000"",""0.00017000""],[""61221.31000000"",""0.00009000""],[""61221.16000000"",""0.00009000""]],""asks"":[[""61222.01000000"",""1.83491000""],[""61222.02000000"",""0.00062000""],[""61222.03000000"",""0.00017000""],[""61222.54000000"",""0.00027000""],[""61223.10000000"",""0.00018000""]]}"
1780861677,775825647,spot,depth_diff,0,0,14,BTCUSDT,"{""e"":""depthUpdate"",""E"":1780861677914,""s"":""BTCUSDT"",""U"":95286421554,""u"":95286421601,""b"":[[""61222.00000000"",""0.76028000""],[""61221.99000000"",""0.00107000""],[""61221.50000000"",""0.00000000""],[""61221.49000000"",""0.00000000""],[""61221.02000000"",""0.18084000""],[""61218.00000000"",""0.00018000""],[""61217.99000000"",""0.34433000""],[""61216.92000000"",""0.00818000""],[""61216.50000000"",""0.00000000""],[""61216.01000000"",""0.04132000""],[""61216.00000000"",""0.29727000""],[""61215.51000000"",""0.47826000""],[""61214.81000000"",""0.00201000""],[""61214.30000000"",""0.07587000""],[""61213.71000000"",""0.00000000""],[""61050.58000000"",""0.04089000""],[""60303.67000000"",""0.00826000""],[""55099.80000000"",""0.00510000""]],""a"":[[""61222.01000000"",""1.83491000""],[""61222.02000000"",""0.00062000""],[""61223.10000000"",""0.00018000""],[""61224.20000000"",""0.00018000""],[""61228.30000000"",""0.00901000""],[""61248.88000000"",""0.00419000""],[""61250.42000000"",""0.00000000""]]}"
1780861677,775835760,spot,depth5,0,0,15,BTCUSDT,"{""lastUpdateId"":95286421620,""bids"":[[""61222.00000000"",""0.76028000""],[""61221.99000000"",""0.00107000""],[""61221.98000000"",""0.00017000""],[""61221.31000000"",""0.00009000""],[""61221.16000000"",""0.00009000""]],""asks"":[[""61222.01000000"",""1.83491000""],[""61222.02000000"",""0.00062000""],[""61222.03000000"",""0.00017000""],[""61222.54000000"",""0.00027000""],[""61223.10000000"",""0.00018000""]]}"
1780861677,867637168,spot,depth_diff,0,0,16,BTCUSDT,"{""e"":""depthUpdate"",""E"":1780861678014,""s"":""BTCUSDT"",""U"":95286421602,""u"":95286421620,""b"":[[""61217.99000000"",""0.34442000""],[""61216.03000000"",""0.00009000""],[""61216.02000000"",""0.07030000""],[""61214.81000000"",""0.00000000""],[""61213.12000000"",""0.00080000""],[""61195.25000000"",""0.00009000""],[""61173.23000000"",""0.00009000""],[""55099.80000000"",""0.00510000""],[""48977.60000000"",""0.00040000""]],""a"":[[""61225.30000000"",""0.00009000""],[""61225.83000000"",""0.00800000""],[""62236.89000000"",""0.00023000""],[""80298.72000000"",""0.02508000""]]}"
1780861677,867674362,spot,depth5,0,0,17,BTCUSDT,"{""lastUpdateId"":95286421644,""bids"":[[""61222.00000000"",""0.76028000""],[""61221.99000000"",""0.00107000""],[""61221.98000000"",""0.00017000""],[""61221.16000000"",""0.00009000""],[""61221.03000000"",""0.00018000""]],""asks"":[[""61222.01000000"",""2.08237000""],[""61222.02000000"",""0.00062000""],[""61222.03000000"",""0.00017000""],[""61222.54000000"",""0.00027000""],[""61223.10000000"",""0.00018000""]]}"
1780861677,867684116,spot,depth_diff,0,0,18,BTCUSDT,"{""e"":""depthUpdate"",""E"":1780861678114,""s"":""BTCUSDT"",""U"":95286421621,""u"":95286421644,""b"":[[""61221.31000000"",""0.00000000""],[""61216.92000000"",""0.00818000""],[""61201.64000000"",""0.00000000""],[""60303.66000000"",""0.00413000""],[""55099.80000000"",""0.00510000""]],""a"":[[""61222.01000000"",""2.08237000""],[""61225.30000000"",""0.00000000""],[""61225.71000000"",""0.07836000""],[""61225.83000000"",""0.00818000""],[""61228.01000000"",""0.10027000""],[""61238.38000000"",""0.00000000""],[""79890.03000000"",""0.02121000""]]}"
1780861677,867693739,spot,depth5,0,0,19,BTCUSDT,"{""lastUpdateId"":95286421670,""bids"":[[""61222.00000000"",""0.57795000""],[""61221.99000000"",""0.00107000""],[""61221.98000000"",""0.00017000""],[""61221.16000000"",""0.00009000""],[""61221.03000000"",""0.00018000""]],""asks"":[[""61222.01000000"",""2.08228000""],[""61222.02000000"",""0.00044000""],[""61222.03000000"",""0.00017000""],[""61222.54000000"",""0.00027000""],[""61223.11000000"",""0.07604000""]]}"
1780861677,867699453,spot,depth_diff,0,0,20,BTCUSDT,"{""e"":""depthUpdate"",""E"":1780861678214,""s"":""BTCUSDT"",""U"":95286421645,""u"":95286421670,""b"":[[""61222.00000000"",""0.57795000""],[""61201.64000000"",""0.00009000""],[""60426.11000000"",""0.00413000""],[""60303.67000000"",""0.01239000""],[""55099.80000000"",""0.00510000""],[""48977.60000000"",""0.00020000""]],""a"":[[""61222.01000000"",""2.08228000""],[""61222.02000000"",""0.00044000""],[""61223.10000000"",""0.00000000""],[""61224.20000000"",""0.00000000""],[""61225.83000000"",""0.00018000""],[""61228.30000000"",""0.00009000""],[""61236.59000000"",""0.04840000""],[""61238.12000000"",""0.06291000""],[""61238.38000000"",""0.00009000""],[""61301.14000000"",""0.15676000""]]}"
